title;firstname;lastname;street_address;city;state;zipcode;country;email;telephone_number;company;channel;order_ref;payment_method;payment_details;shipping_method;shipping_amount
Dr.;Arthur;Wilson;4033 Sand Fork Road;Plymouth;IN;46563;US;ArthurGWilson@armyspy.com;574-913-6065;Record & Tape Outlet;1;100000313;Credit Card;Visa refnr. 4012888888881881;UPS;10
Mr.;Ernest;White;4286 Wexford Way;Columbia;SC;29201;US;ErnestMWhite@superrito.com;803-301-5591;Dreamscape Garden Care;1;100000197;Paypal;NULL;DHL;0
Mrs.;Alena;Garza;4349 Twin Oaks Drive;Manistee;MI;49660;US;AlenaAGarza@teleworm.us;231-398-2817;Super Shops;2;200000124;Paypal;NULL;UPS;5
Mr.;Mike;Otterson;4428 Tail Ends Road;Green Bay;WI;54303;US;MikeDOtterson@dayrep.com;920-609-4773;Star Bright Investment Group;1;NULL;iDEAL;refnr. 298021969;DHL;5
Ms.;Patty;Fisher;3349 Emma Street;Lefors;TX;79054;US;PattyCFisher@dayrep.com;806-835-0738;Liberty Wealth Planner;4;NULL;Credit Card;Master Card refnr. 5105105105105100;UPS;0
Mr.;Christopher;Thornton;1167 Zappia Drive;Lexington;KY;40509;US;ChristopherSThornton@superrito.com;859-317-5039;Chandler's;1;NULL;Paypal;NULL;UPS;10
Mr.;Alfredo;Rudd;2954 Carson Street;Lexington;KY;40507;US;AlfredoDRudd@cuvox.de;859-248-1098;Star Bright Investment Group;2;NULL;Paypal;NULL;UPS;5
Mr.;Merlin;Rogers;4008 Gateway Avenue;Bakersfield;CA;93301;US;MerlinNRogers@gustr.com;661-851-3509;King Carol;2;200000456;Paypal;NULL;UPS;0
Mr.;John;Barrows;4428 Radio Park Drive;Atlanta;GA;30328;US;JohnRBarrows@cuvox.de;706-763-0828;The Great Train Stores;4;400000263;After Pay;NULL;UPS;5
Mr.;Marty;Stubblefield;1390 Brown Street;San Ramon;CA;94583;US;MartyLStubblefield@gustr.com;925-904-5007;Wellby;1;100000200;After Pay;NULL;UPS;0
Ms.;Sophia;Rowland;848 Kimberly Way;Grand Rapids;MI;49505;US;SophiaDRowland@teleworm.us;616-831-9925;Maxaprofit;4;400000528;Credit Card;Master Card refnr. 5105105105105100;UPS;0
Mr.;Frank;Clarke;722 Harvest Lane;Sedalia;MO;65301;US;FrankJClarke@gustr.com;660-829-8161;Cherry & Webb;1;100000585;iDEAL;refnr. 546905719;DHL;0
Mr.;Jason;Scott;1167 Marion Drive;Winter Haven;FL;33830;US;JasonFScott@superrito.com;813-363-5042;National Lumber;4;NULL;After Pay;NULL;UPS;0
Mr.;Kenneth;Miller;358 Fowler Avenue;Norcross;GA;30071;US;KennethEMiller@teleworm.us;770-212-5150;Muscle Factory;2;NULL;Paypal;NULL;UPS;5
Mr.;Francis;Erickson;1154 Broadway Street;Myrtle Beach;SC;29577;US;FrancisAErickson@einrot.com;843-787-9170;Boston Sea Party;3;300000090;Credit Card;Master Card refnr. 5105105105105100;DHL;5
Ms.;Patricia;Neal;4331 Lochmere Lane;Sharon;CT;6069;US;PatriciaBNeal@cuvox.de;860-364-5391;Lazysize;3;NULL;Paypal;NULL;UPS;10
Mr.;Roy;Greenwell;2413 Capitol Avenue;Romney;IN;47981;US;RoyLGreenwell@superrito.com;765-538-2134;Big D Supermarkets;1;100000701;Credit Card;Master Card refnr. 5105105105105100;UPS;5
Mr.;John;Tilley;1157 Hiney Road;North Las Vegas;NV;89030;US;JohnMTilley@dayrep.com;702-289-6791;Olympic Sports;1;100000044;iDEAL;refnr. 161382487;DHL;10
Mr.;Thomas;Ybarra;2769 Dog Hill Lane;Topeka;KS;66607;US;ThomasMYbarra@gustr.com;785-713-2136;Titania;1;100000048;iDEAL;refnr. 982048585;UPS;0
